,체결시간,시가,고가,저가,현재가,거래량,20이평,60이평,120이평,RSI14
0,20240223145951,29350,29350,29300,29350,2766,29315.0,29158.333333333332,29017.916666666668,58.95668111404545
1,20240223145921,29400,29400,29300,29350,4829,29305.0,29150.833333333332,29010.416666666668,58.95668111404545
2,20240223145849,29400,29400,29350,29400,2285,29295.0,29140.833333333332,29003.75,65.44303341336888
3,20240223145810,29350,29400,29350,29400,2104,29282.5,29129.166666666668,28996.25,65.44303341336888
4,20240223145723,29350,29400,29300,29300,4700,29272.5,29119.166666666668,28987.916666666668,57.35147553740016
5,20240223145656,29350,29400,29300,29350,5534,29265.0,29110.833333333332,28980.833333333332,64.34681705494452
6,20240223145631,29350,29350,29300,29350,2696,29250.0,29102.5,28973.333333333332,64.34681705494452
7,20240223145558,29300,29350,29300,29350,3553,29235.0,29095.0,28965.833333333332,64.34681705494452
8,20240223145553,29300,29350,29250,29300,2292,29215.0,29086.666666666668,28957.5,60.488146718780285
9,20240223145544,29350,29350,29250,29300,4712,29197.5,29080.0,28950.0,60.48814671878029
10,20240223145530,29350,29350,29300,29350,215,29180.0,29072.5,28943.333333333332,66.71381186338
11,20240223145527,29350,29350,29300,29350,344,29160.0,29063.333333333332,28936.25,66.71381186338
12,20240223145520,29350,29350,29300,29350,1954,29142.5,29054.166666666668,28928.333333333332,66.71381186338
13,20240223145458,29350,29350,29300,29300,3601,29122.5,29048.333333333332,28920.416666666668,63.72447291389066
14,20240223145429,29350,29350,29300,29350,6795,29107.5,29042.5,28912.5,69.52208570712116
15,20240223145414,29250,29350,29250,29350,10720,29090.0,29037.5,28905.416666666668,69.52208570712116
16,20240223145349,29200,29250,29200,29250,9848,29070.0,29033.333333333332,28899.583333333332,63.850478640446134
17,20240223145326,29150,29200,29150,29200,3460,29060.0,29031.666666666668,28895.0,60.43184973149156
18,20240223145237,29150,29200,29150,29150,4082,29052.5,29031.666666666668,28890.833333333332,56.62270771379681
19,20240223145113,29150,29200,29100,29200,2469,29055.0,29032.5,28887.5,62.18118348359539
