,체결시간,시가,고가,저가,현재가,거래량,20이평,60이평,120이평,RSI14
0,20240223145951,758,758,746,746,139833,758.6,756.0333333333333,749.3916666666667,36.078829690009854
1,20240223145928,757,757,755,756,44907,759.75,756.2833333333333,749.1166666666667,46.467002888898456
2,20240223145800,757,757,754,756,30626,760.6,756.4833333333333,748.7833333333333,46.46700288889846
3,20240223145656,756,758,755,757,59700,761.3,756.5666666666667,748.4083333333333,47.64999048717588
4,20240223145610,760,760,756,756,31359,761.6,756.55,748.0583333333333,46.38246204046369
5,20240223145543,753,761,753,760,82361,761.55,756.55,747.6,50.96595332665628
6,20240223145451,755,758,752,755,51020,761.5,756.55,747.1916666666667,44.612998022863174
7,20240223145358,761,762,755,755,66452,761.85,756.6333333333333,746.8666666666667,44.612998022863174
8,20240223145326,758,760,756,760,81447,762.05,756.7166666666667,746.4833333333333,50.22370291263533
9,20240223145237,758,762,757,758,31830,761.8,756.6333333333333,746.0416666666666,47.7846011208113
10,20240223145151,762,764,757,758,26376,761.55,756.5833333333334,745.6666666666666,47.7846011208113
11,20240223145112,761,767,761,762,34037,761.6,756.5,745.2583333333333,52.19521077811704
12,20240223145022,766,769,761,762,47213,761.65,756.5166666666667,744.8,52.19521077811704
13,20240223145000,763,769,762,766,36608,761.75,756.5333333333333,744.325,56.70845807830713
14,20240223144937,763,763,758,763,17814,761.75,756.3833333333333,743.825,53.934425568177005
15,20240223144856,760,763,759,760,32991,761.6,756.2333333333333,743.3583333333333,51.02007405500698
16,20240223144823,757,760,755,760,44950,761.1,756.05,742.8666666666667,51.020074055006965
17,20240223144729,759,763,757,757,42933,760.4,755.8333333333334,742.45,48.19405094441596
18,20240223144655,766,766,757,759,63466,760.1,755.6666666666666,742.0666666666667,49.97918490263384
19,20240223144626,765,770,758,766,27517,759.65,755.3666666666667,741.725,56.81917841552328
20,20240223144608,774,775,764,769,105116,758.85,755.1,741.3,60.09199505846127
21,20240223144557,770,774,767,773,70839,757.8,754.85,740.7583333333333,64.70654087298027
22,20240223144547,763,770,763,770,71087,756.55,754.4833333333333,740.1166666666667,62.71241205366164
23,20240223144523,750,763,750,763,27418,755.05,754.1666666666666,739.4833333333333,57.51091352672889
24,20240223144426,757,757,749,755,95777,754.0,754.0166666666667,738.8833333333333,50.12799090214189
25,20240223144329,762,763,755,759,48858,753.25,753.9166666666666,738.325,54.526922742866816
26,20240223144235,759,763,759,762,36228,752.2,753.9166666666666,737.75,58.07621549482328
27,20240223144212,755,759,755,759,42893,751.3,753.85,737.175,55.37919959702409
28,20240223144129,754,759,750,755,47548,750.9,753.6833333333333,736.5833333333334,51.517658453733354
29,20240223144051,759,760,740,753,155101,750.8,753.55,736.0333333333333,49.4880962422568
30,20240223144015,764,764,759,759,56662,750.8,753.4166666666666,735.4333333333333,56.020999138610264
31,20240223143934,765,765,760,763,28019,750.45,753.1166666666667,734.75,61.0064603402036
32,20240223143903,767,767,762,764,78146,750.0,752.65,734.0916666666667,62.29338083642935
33,20240223143845,760,770,759,766,77739,749.3,752.1833333333333,733.4,64.83329656329013
34,20240223143827,750,760,749,760,71667,748.5,751.6666666666666,732.7416666666667,60.32712584307479
35,20240223143753,745,751,742,750,53220,748.25,751.3333333333334,732.075,50.51357634346267
36,20240223143633,752,752,742,746,64096,748.45,751.2833333333333,731.4166666666666,45.5069030714878
37,20240223143536,751,755,750,751,31169,749.15,751.2333333333333,730.7833333333333,51.56195523995692
38,20240223143502,750,750,748,750,27030,749.6,751.0333333333333,730.125,50.33468815340845
39,20240223143430,748,750,745,750,25112,749.85,750.9,729.4583333333334,50.33468815340846
40,20240223143357,748,750,745,748,50496,750.65,750.7333333333333,728.85,48.06550787222282
41,20240223143320,739,750,739,748,35296,751.3,750.5666666666667,728.2833333333333,48.06550787222282
42,20240223143256,742,745,737,740,20507,752.3,750.3833333333333,727.7,38.35068957815128
43,20240223143238,737,742,737,742,56485,753.35,750.3833333333333,727.15,40.091646439686876
44,20240223143227,738,742,731,740,21371,754.05,750.3333333333334,726.55,37.455184760546146
