,체결시간,시가,고가,저가,현재가,거래량,20이평,60이평,120이평,RSI14
0,20240223145950,13950,13970,13920,13960,4015,14034.0,13976.833333333334,13935.166666666666,43.99604091539168
1,20240223145919,13970,13980,13930,13940,3740,14038.5,13975.5,13933.5,40.59104234872942
2,20240223145902,14010,14010,13970,13980,6127,14043.0,13974.333333333334,13932.25,45.75767340697611
3,20240223145827,13980,14010,13980,14000,1767,14042.0,13972.5,13930.666666666666,48.63163836360934
4,20240223145800,13970,14000,13970,13980,2849,14041.0,13970.5,13929.166666666666,45.45018055486586
5,20240223145724,13980,13980,13960,13970,2345,14041.0,13968.833333333334,13928.583333333334,43.83515139787627
6,20240223145632,14000,14000,13970,13980,3419,14039.0,13966.666666666666,13927.666666666666,45.07432337187447
7,20240223145553,13990,14000,13960,14000,3703,14036.0,13964.0,13926.75,47.57181538958353
8,20240223145531,14040,14040,13990,14000,3101,14029.5,13961.0,13925.75,47.57181538958353
9,20240223145505,14080,14080,14040,14040,4433,14022.5,13957.666666666666,13924.666666666666,52.59756900491053
10,20240223145449,14100,14120,14090,14090,6417,14014.5,13952.5,13923.416666666666,59.94874642637284
11,20240223145440,14060,14100,14050,14100,4355,14005.5,13946.5,13921.583333333334,61.546236039072944
12,20240223145425,14020,14080,14000,14060,3517,13998.0,13940.5,13919.583333333334,57.322117379891914
13,20240223145404,14070,14080,14030,14030,3484,13992.0,13935.333333333334,13917.666666666666,53.786698920687556
14,20240223145349,14090,14100,14070,14070,3219,13988.0,13930.666666666666,13916.333333333334,59.93369706696722
15,20240223145330,14100,14110,14070,14090,3441,13983.0,13925.166666666666,13914.916666666666,63.29202011192391
16,20240223145318,14080,14110,14070,14110,4949,13975.5,13919.5,13913.333333333334,66.7659559201038
17,20240223145308,14110,14120,14060,14080,5325,13969.0,13913.333333333334,13911.5,64.0148814595
18,20240223145258,14090,14110,14070,14110,11218,13964.0,13907.333333333334,13910.0,69.34516957999465
19,20240223145250,14050,14090,14050,14090,3114,13959.5,13901.0,13908.333333333334,67.67916428056085
20,20240223145244,14030,14050,14030,14050,15788,13953.5,13895.166666666666,13906.666666666666,64.05078959093254
21,20240223145244,13960,14030,13950,14030,17571,13951.0,13889.5,13905.583333333334,62.074040993881354
22,20240223145159,13980,13980,13940,13960,4379,13951.0,13885.333333333334,13904.916666666666,53.82155609049819
23,20240223145118,13970,13980,13950,13980,4435,13952.5,13882.666666666666,13905.083333333334,57.11898886593417
