,체결시간,시가,고가,저가,현재가,거래량,20이평,60이평,120이평,RSI14
0,20240223145836,9460,9470,9400,9460,944,9539.5,9651.5,9554.916666666666,37.81857685089925
1,20240223145641,9460,9480,9400,9460,1105,9547.0,9657.666666666666,9553.5,37.818576850899255
2,20240223144941,9450,9490,9390,9460,4967,9554.5,9663.333333333334,9551.166666666666,37.818576850899255
3,20240223144125,9520,9520,9450,9450,3110,9560.0,9669.333333333334,9549.25,36.44103817575027
4,20240223143345,9530,9550,9500,9500,1640,9566.0,9674.333333333334,9547.666666666666,40.61892734270548
5,20240223142454,9580,9590,9450,9530,3460,9569.5,9678.5,9545.416666666666,43.39050768247822
6,20240223141237,9550,9590,9500,9580,3955,9570.5,9682.166666666666,9543.333333333334,48.513526259943184
7,20240223140801,9550,9590,9510,9550,1051,9568.5,9685.166666666666,9540.083333333334,44.88824230818862
8,20240223140108,9550,9590,9520,9550,1755,9569.0,9688.333333333334,9536.916666666666,44.88824230818863
9,20240223135233,9530,9590,9530,9570,3951,9572.5,9692.333333333334,9533.916666666666,46.78173929647011
10,20240223134917,9480,9530,9430,9530,2441,9571.5,9696.833333333334,9531.25,42.25832112834877
11,20240223133646,9480,9490,9400,9470,7759,9575.5,9702.333333333334,9529.75,34.50433148989886
12,20240223131641,9500,9520,9400,9460,5128,9588.5,9709.333333333334,9528.666666666666,33.11427217362528
13,20240223130255,9600,9630,9500,9500,11119,9602.0,9718.333333333334,9527.25,35.94808967266093
14,20240223125337,9610,9680,9560,9560,2669,9614.5,9724.5,9525.583333333334,40.812833642340124
15,20240223124617,9630,9630,9550,9600,6723,9625.5,9730.333333333334,9523.333333333334,44.54449541242482
16,20240223123740,9680,9690,9580,9610,3760,9639.5,9735.666666666666,9521.083333333334,45.51048470059912
17,20240223122409,9650,9700,9610,9680,2822,9649.0,9741.0,9519.0,52.97822140824144
18,20240223121808,9640,9700,9610,9660,4785,9654.5,9744.666666666666,9516.583333333334,50.83802242585647
19,20240223120619,9610,9650,9580,9610,2211,9655.5,9748.833333333334,9514.0,45.02988218550219
20,20240223115819,9620,9670,9580,9610,5003,9657.0,9753.333333333334,9511.833333333334,45.02988218550219
21,20240223114519,9550,9620,9540,9610,3126,9661.0,9757.666666666666,9510.083333333334,45.02988218550219
22,20240223113604,9570,9600,9520,9570,3587,9666.5,9761.5,9508.25,40.529546193546985
23,20240223112252,9570,9620,9530,9570,3939,9675.5,9764.833333333334,9507.0,40.52954619354699
24,20240223111528,9540,9580,9520,9570,3391,9686.5,9765.833333333334,9505.75,40.529546193546985
25,20240223110809,9540,9580,9510,9550,4832,9696.0,9766.0,9505.166666666666,38.51439480728658
26,20240223110257,9560,9560,9510,9540,8439,9705.5,9766.666666666666,9505.583333333334,37.53162465693345
27,20240223105547,9620,9620,9560,9560,2489,9717.5,9766.833333333334,9505.833333333334,38.6797995123609
28,20240223105140,9580,9630,9540,9620,6684,9729.0,9765.333333333334,9504.916666666666,42.28322315664489
29,20240223104849,9610,9680,9550,9550,14983,9734.0,9762.833333333334,9503.166666666666,35.804360968427076
30,20240223104450,9720,9720,9610,9610,9317,9742.0,9761.0,9501.916666666666,39.31710701399059
31,20240223104138,9740,9800,9730,9730,7258,9747.0,9758.166666666666,9499.833333333334,48.07686923420904
32,20240223103759,9740,9800,9730,9730,4891,9743.0,9755.333333333334,9497.0,48.07686923420904
33,20240223103333,9780,9800,9740,9750,5082,9740.5,9749.833333333334,9493.416666666666,49.6670954505934
34,20240223103131,9880,9880,9740,9780,3375,9740.0,9740.833333333334,9490.416666666666,52.065829488094835
35,20240223103102,9810,9910,9770,9880,4480,9739.0,9733.166666666666,9488.0,61.217069166504345
36,20240223103052,9790,9930,9790,9800,9730,9736.0,9724.0,9483.666666666666,55.3928621968328
37,20240223102854,9680,9790,9650,9790,4991,9740.0,9715.833333333334,9479.916666666666,54.60152279701675
38,20240223102623,9660,9750,9630,9680,6118,9742.0,9707.833333333334,9475.833333333334,44.55463138623338
39,20240223102504,9690,9690,9620,9640,5833,9751.5,9700.5,9472.666666666666,40.07679658124588
40,20240223102323,9710,9710,9670,9690,4542,9758.0,9690.166666666666,9469.916666666666,44.22221754034125
41,20240223102123,9740,9760,9710,9720,3257,9765.0,9677.166666666666,9466.583333333334,46.92655496320519
42,20240223102028,9790,9790,9700,9750,5618,9769.0,9662.833333333334,9463.166666666666,49.75171968730268
43,20240223101906,9780,9790,9740,9790,3564,9772.5,9650.666666666666,9459.916666666666,53.758806726251436
44,20240223101855,9780,9790,9740,9760,1025,9770.5,9637.666666666666,9456.25,51.010935306928246
45,20240223101846,9800,9800,9740,9740,1216,9770.0,9624.333333333334,9452.666666666666,49.139959671156326
46,20240223101839,9780,9800,9780,9780,648,9770.5,9611.5,9449.666666666666,52.891412237606446
47,20240223101832,9720,9790,9690,9790,2353,9769.5,9598.333333333334,9446.583333333334,53.84568134788837
48,20240223101815,9710,9730,9680,9720,1568,9767.0,9585.333333333334,9442.916666666666,47.713921615435964
49,20240223101654,9700,9710,9670,9710,3906,9770.5,9574.333333333334,9439.5,46.775931787694084
50,20240223101535,9650,9740,9650,9710,3238,9777.0,9563.666666666666,9435.833333333334,46.775931787694084
51,20240223101445,9680,9720,9630,9650,6503,9784.5,9553.5,9432.333333333334,41.330859241182196
52,20240223101327,9740,9760,9680,9680,5641,9796.5,9544.666666666666,9428.5,43.39191500146873
53,20240223101243,9760,9770,9700,9740,6113,9812.5,9535.166666666666,9424.5,47.8206095461983
54,20240223101203,9820,9830,9760,9760,6169,9819.0,9525.333333333334,9420.083333333334,49.38058291479308
55,20240223101136,9880,9920,9820,9820,5806,9826.5,9514.833333333334,9415.5,54.316532126792666
56,20240223101054,9830,9880,9810,9880,4571,9831.5,9502.666666666666,9410.583333333334,59.873874445316225
57,20240223101024,9890,9890,9800,9830,3220,9834.0,9489.666666666666,9405.666666666666,56.42388562738017
58,20240223101004,9800,9890,9800,9870,4365,9837.5,9478.833333333334,9400.5,60.27354684561238
59,20240223100930,9840,9840,9770,9770,3374,9839.5,9467.833333333334,9395.333333333334,52.79733977104802
60,20240223100912,9800,9870,9790,9830,3552,9845.0,9458.333333333334,9391.083333333334,58.981550528971454
61,20240223100844,9780,9820,9740,9800,6719,9847.0,9449.333333333334,9386.583333333334,56.62258709791181
62,20240223100823,9750,9830,9750,9820,3600,9849.0,9439.0,9382.25,58.71284139451412
